id,attr_time,attr_light
1,1436896820642,0.0
2,1436896820654,0.0
3,1436896820675,0.0
4,1436896820695,0.0
5,1436896820713,0.0
6,1436896820733,0.0
7,1436896820755,0.0
8,1436896820775,0.0
9,1436896820795,0.0
10,1436896820814,0.0
11,1436896820834,0.0
12,1436896820856,0.0
13,1436896820877,0.0
14,1436896820894,0.0
15,1436896820914,0.0
16,1436896820936,0.0
17,1436896820957,0.0
18,1436896820977,0.0
19,1436896820994,0.0
20,1436896821018,0.0
21,1436896821035,0.0
22,1436896821059,0.0
23,1436896821075,0.0
24,1436896821100,0.0
25,1436896821119,0.0
26,1436896821137,0.0
27,1436896821157,0.0
28,1436896821176,0.0
29,1436896821194,0.0
30,1436896821214,0.0
31,1436896821237,0.0
32,1436896821259,0.0
33,1436896821274,0.0
34,1436896821296,0.0
35,1436896821316,0.0
36,1436896821379,0.0
37,1436896821391,0.0
38,1436896821392,0.0
39,1436896821397,0.0
40,1436896821414,0.0
41,1436896821435,0.0
42,1436896821454,0.0
43,1436896821474,0.0
44,1436896821496,0.0
45,1436896821515,0.0
46,1436896821536,0.0
47,1436896821555,0.0
48,1436896821577,0.0
49,1436896821597,0.0
50,1436896821618,0.0
51,1436896821637,0.0
52,1436896821656,0.0
53,1436896821677,0.0
54,1436896821697,0.0
55,1436896821716,0.0
56,1436896821734,0.0
57,1436896821754,0.0
58,1436896821776,0.0
59,1436896821798,0.0
60,1436896821815,0.0
61,1436896821838,0.0
62,1436896821857,0.0
63,1436896821878,0.0
64,1436896821898,0.0
65,1436896821917,0.0
66,1436896821938,0.0
67,1436896821958,0.0
68,1436896821978,0.0
69,1436896821997,0.0
70,1436896822020,0.0
71,1436896822035,0.0
72,1436896822148,0.0
73,1436896822149,0.0
74,1436896822150,0.0
75,1436896822151,0.0
76,1436896822152,0.0
77,1436896822166,0.0
78,1436896822199,0.0
79,1436896822200,0.0
80,1436896822217,0.0
81,1436896822235,0.0
82,1436896822259,0.0
83,1436896822510,0.0
84,1436896822511,0.0
85,1436896822512,0.0
86,1436896822513,0.0
87,1436896822514,0.0
88,1436896822515,0.0
89,1436896822516,0.0
90,1436896822517,0.0
91,1436896822518,0.0
92,1436896822519,0.0
93,1436896822520,0.0
94,1436896822521,0.0
95,1436896822527,0.0
96,1436896822761,0.0
97,1436896822762,0.0
98,1436896822763,0.0
99,1436896822764,0.0
100,1436896822765,0.0
101,1436896822766,0.0
102,1436896822767,0.0
103,1436896822768,0.0
104,1436896822769,0.0
105,1436896822770,0.0
106,1436896822771,0.0
107,1436896822772,0.0
108,1436896822779,0.0
109,1436896822796,0.0
110,1436896822815,0.0
111,1436896822834,0.0
112,1436896822854,0.0
113,1436896822875,0.0
114,1436896822894,0.0
115,1436896822914,0.0
116,1436896822934,0.0
117,1436896822954,0.0
118,1436896822979,0.0
119,1436896822999,0.0
120,1436896823018,0.0
121,1436896823035,0.0
122,1436896823056,0.0
123,1436896823079,0.0
124,1436896823099,0.0
125,1436896823119,0.0
126,1436896823135,0.0
127,1436896823156,0.0
128,1436896823178,0.0
129,1436896823199,0.0
130,1436896823219,0.0
131,1436896823238,0.0
132,1436896823259,0.0
133,1436896823276,0.0
134,1436896823299,0.0
135,1436896823318,0.0
136,1436896823339,0.0
137,1436896823359,0.0
138,1436896823379,0.0
139,1436896823398,0.0
140,1436896823416,0.0
141,1436896823446,0.0
142,1436896823464,0.0
143,1436896823479,0.0
144,1436896823496,0.0
145,1436896823517,0.0
146,1436896823535,0.0
147,1436896823559,0.0
148,1436896823579,0.0
149,1436896823596,0.0
150,1436896823620,0.0
151,1436896823640,0.0
152,1436896823655,0.0
153,1436896823679,0.0
154,1436896823699,0.0
155,1436896823715,0.0
156,1436896823735,0.0
157,1436896823755,0.0
158,1436896823779,0.0
