id,attr_time,attr_light
1,1436980333526,34609.0
2,1436980333548,35762.0
3,1436980333565,35762.0
4,1436980333585,37517.0
5,1436980333605,37517.0
6,1436980333635,37751.0
7,1436980333645,37751.0
8,1436980333692,37535.0
9,1436980333693,37535.0
10,1436980333711,37781.0
11,1436980333725,37781.0
12,1436980333746,37890.0
13,1436980333766,37890.0
14,1436980333790,38008.0
15,1436980333809,38008.0
16,1436980333825,38084.0
17,1436980333852,38084.0
18,1436980333865,37882.0
19,1436980333889,37676.0
20,1436980333906,37676.0
21,1436980333925,37811.0
22,1436980333946,37811.0
23,1436980333968,37879.0
24,1436980333988,37879.0
25,1436980334008,37295.0
26,1436980334026,37295.0
27,1436980334048,36495.0
28,1436980334068,36495.0
29,1436980334088,36445.0
30,1436980334105,36445.0
31,1436980334127,37073.0
32,1436980334149,37073.0
33,1436980334168,37669.0
34,1436980334189,37669.0
35,1436980334206,37922.0
36,1436980334228,37922.0
37,1436980334248,37887.0
38,1436980334268,37411.0
39,1436980334289,37411.0
40,1436980334308,37233.0
41,1436980334328,37233.0
42,1436980334348,36364.0
43,1436980334366,36364.0
44,1436980334388,34159.0
45,1436980334434,34159.0
46,1436980334435,35786.0
47,1436980334454,35786.0
48,1436980334466,38103.0
49,1436980334486,38103.0
50,1436980334506,39225.0
51,1436980334526,39225.0
52,1436980334547,38696.0
53,1436980334569,38696.0
54,1436980334587,38509.0
55,1436980334607,38509.0
56,1436980334629,40258.0
57,1436980334646,40453.0
58,1436980334669,40453.0
59,1436980334689,39133.0
60,1436980334706,39133.0
61,1436980334729,38644.0
62,1436980334749,38644.0
63,1436980334768,39030.0
64,1436980334789,39030.0
65,1436980334807,36705.0
66,1436980334831,36705.0
67,1436980334847,35389.0
68,1436980334872,35389.0
69,1436980334892,37220.0
70,1436980334909,37220.0
71,1436980334928,37999.0
72,1436980334949,37999.0
73,1436980334966,37908.0
74,1436980334989,37908.0
75,1436980335010,37643.0
76,1436980335030,36904.0
77,1436980335050,35172.0
78,1436980335069,35238.0
79,1436980335089,35238.0
80,1436980335156,34895.0
81,1436980335157,34895.0
82,1436980335158,36729.0
83,1436980335167,36729.0
84,1436980335191,38040.0
85,1436980335207,38040.0
86,1436980335226,37758.0
87,1436980335248,37758.0
88,1436980335266,37271.0
89,1436980335290,37271.0
90,1436980335307,37038.0
91,1436980335330,37038.0
92,1436980335346,37354.0
