id,attr_time,attr_db
1,1436803440567,70.7289638035653
2,1436803441264,67.5700710413104
3,1436803442020,66.1192826474083
4,1436803442815,69.3082754769321
5,1436803443546,74.1649648816939
6,1436803444289,67.0149032187562
7,1436803444997,70.8315234958206
8,1436803445720,65.3051694295283
9,1436803446383,57.2852277648514
10,1436803447113,56.7954121896118
11,1436803447855,72.9063860180908
12,1436803448566,68.8326048066805
13,1436803449247,67.7253981381075
14,1436803449996,54.0372281847733
15,1436803450691,55.4393615608218
16,1436803451361,54.1054946292164
17,1436803452079,50.0071722449693
18,1436803452909,41.9805835021759
19,1436803453630,23.5320298428437
20,1436803454371,51.2038699027005
21,1436803455090,28.7644046168111
22,1436803455857,23.6217486009778
23,1436803456509,29.686676541805
24,1436803457262,37.0137383155896
25,1436803458003,44.8706689286046
26,1436803458796,70.97164883643
27,1436803459530,63.2327230540919
28,1436803460273,61.6667408797048
29,1436803461019,57.8903522303011
30,1436803461700,66.9650630765103
31,1436803462440,60.921049597141
32,1436803463151,62.3734606994614
33,1436803463789,58.837876382082
34,1436803464459,74.434300695382
35,1436803465269,59.3587341255056
36,1436803466004,62.4595592724669
37,1436803466751,60.4813165414877
38,1436803467504,62.8221570015771
39,1436803468238,60.3573864325494
40,1436803468981,60.9999516186271
41,1436803469738,57.0515422075724
42,1436803470456,57.787157599557
43,1436803471125,59.5842885900926
44,1436803471874,59.4972301247082
45,1436803472562,60.9807472320208
46,1436803473217,60.7713567862622
47,1436803473997,62.2597155535297
48,1436803474711,57.5741902659836
49,1436803475335,59.6040786309134
50,1436803476013,58.4411396819095
51,1436803476741,59.9421721799929
52,1436803477495,61.0784628218528
53,1436803478254,62.8884751637853
54,1436803478985,60.1439718835892
55,1436803479713,56.4298946286267
56,1436803480460,59.563425820661
57,1436803481193,57.6067251251734
58,1436803481928,58.7039107138641
59,1436803482621,59.3557832190031
60,1436803483398,59.633321178136
61,1436803484167,60.1524979070343
62,1436803484885,61.2662638365661
63,1436803485548,60.8581099892853
64,1436803486274,72.5048446147473
65,1436803487009,70.3204535722459
66,1436803487767,58.8735026727319
67,1436803488502,66.5497775795398
68,1436803489267,64.7730605007507
69,1436803490034,58.9680315466259
70,1436803490767,61.3508273808699
71,1436803491496,61.3769811028392
72,1436803492216,61.5047396634976
73,1436803492969,59.2633603638069
74,1436803493598,58.3336897020387
75,1436803494273,58.8011704097276
76,1436803495030,59.1051962447448
77,1436803495690,59.6318094124538
78,1436803496368,62.7458137102717
79,1436803497081,59.3062299670535
80,1436803497870,57.6448054381071
81,1436803498620,59.9423891813444
82,1436803499382,62.2337819459306
83,1436803500107,60.5839390346156
84,1436803500868,60.8731162018187
